external_id,date,feedback_text,rating,product,channel
SCF-2026-0001,2026-01-05,Everyone at our gathering asked whether the ondeh ondeh came in mixed seasonal flavours.,5,Ondeh Ondeh Box,Google Review
SCF-2026-0002,2026-01-07,I bought the kaya toast breakfast set because the weekday price fits my budget and the drink is included.,5,Kaya Toast Breakfast Set,Google Review
SCF-2026-0003,2026-01-09,"The ondeh ondeh box arrived crushed, and support closed the case before I could attach a photo.",1,Ondeh Ondeh Box,Email Support
SCF-2026-0004,2026-01-11,I would love to choose the chilli level for the nasi lemak sambal.,4,Nasi Lemak Bowl,Post-purchase Survey
SCF-2026-0005,2026-01-13,Same-day delivery was convenient when I needed a last-minute dessert for guests.,4,Ondeh Ondeh Box,Live Chat
SCF-2026-0006,2026-01-15,I was nervous that the sambal would be too spicy for my parents because there was no heat guide.,3,Sambal Crunch Jar,Marketplace Review
SCF-2026-0007,2026-01-17,I was worried about dairy in the kopi even after selecting the oat option.,3,Kopi Oat Latte,Live Chat
SCF-2026-0008,2026-01-19,I came back for the kaya toast because the bread is consistently crisp and the eggs arrive just right.,5,Kaya Toast Breakfast Set,Google Review
SCF-2026-0009,2026-01-21,I was curious about the chilled version of pandan cake and added a slice to my delivery order.,3,Pandan Chiffon Cake,Food Delivery App
SCF-2026-0010,2026-01-23,A caffeine level guide is missing from the cold brew page.,3,Gula Melaka Cold Brew,Mobile App Review
SCF-2026-0011,2026-01-25,I came back after the staff remembered my less-sweet drink preference.,5,Gula Melaka Cold Brew,Google Review
SCF-2026-0012,2026-01-27,Plant-based breakfast choices are a growing trend among my colleagues this year.,4,Kaya Toast Breakfast Set,Google Review
SCF-2026-0013,2026-01-29,Shelf-stable local spreads seem to be a trend for overseas gifts.,4,Kaya Spread Jar,Marketplace Review
SCF-2026-0014,2026-01-31,The launch voucher encouraged me to test the new chicken rice bowl during lunch.,4,Chicken Rice Bowl,Mobile App Review
SCF-2026-0015,2026-02-02,"The pickup shelf has a labelling problem, which caused another customer to take my order.",2,Nasi Lemak Bowl,Google Review
SCF-2026-0016,2026-02-04,I waited forty minutes for pickup even though the confirmation said my breakfast was ready.,1,Kaya Toast Breakfast Set,Google Review
SCF-2026-0017,2026-02-06,The sambal jar lid has an issue: it is extremely hard to open and leaves a sharp edge.,2,Sambal Crunch Jar,Marketplace Review
SCF-2026-0018,2026-02-08,Customers are increasingly looking for clearly labelled high-protein lunch bowls.,4,Chicken Rice Bowl,Post-purchase Survey
SCF-2026-0019,2026-02-10,"The jar stays crunchy after opening, so I keep it in my pantry and replace it when it runs out.",5,Sambal Crunch Jar,Marketplace Review
SCF-2026-0020,2026-02-12,"I was curious about gula melaka in cold brew, so I ordered one to see whether the flavours worked together.",4,Gula Melaka Cold Brew,Google Review
SCF-2026-0021,2026-02-14,"This was my first time ordering the pandan chiffon cake, and the light texture was a pleasant surprise.",5,Pandan Chiffon Cake,Marketplace Review
SCF-2026-0022,2026-02-16,I would love a vegetarian version of the laksa that preserves the same rich broth.,4,Laksa Bowl,Google Review
SCF-2026-0023,2026-02-18,A clear carbon-footprint note is becoming a new expectation for delivered meals.,3,Laksa Bowl,Post-purchase Survey
SCF-2026-0024,2026-02-20,I used a voucher to order the family meal bundle for a weekend gathering.,4,Family Meal Bundle,Food Delivery App
SCF-2026-0025,2026-02-22,A welcome voucher persuaded me to order the laksa bowl when I had not used this café before.,4,Laksa Bowl,Food Delivery App
SCF-2026-0026,2026-02-24,"The filling had leaked out of several pieces, and I am not coming back for another gift box.",2,Ondeh Ondeh Box,Marketplace Review
SCF-2026-0027,2026-02-26,I keep choosing the chicken rice bowl because the sauce is packed separately and the vegetables stay fresh.,4,Chicken Rice Bowl,Food Delivery App
SCF-2026-0028,2026-02-28,The delivery rider waited at the wrong block and the food reached us cold.,2,Family Meal Bundle,Food Delivery App
SCF-2026-0029,2026-03-02,The broken seal made me nervous about whether the kaya jar was safe to eat.,2,Kaya Spread Jar,Marketplace Review
SCF-2026-0030,2026-03-04,The kaya separated badly after opening and was not worth storing in the pantry.,1,Kaya Spread Jar,Marketplace Review
SCF-2026-0031,2026-03-06,I purchased the kaya spread jar because the resealable pack looked easy to store and the ingredients were clearly listed.,4,Kaya Spread Jar,Marketplace Review
SCF-2026-0032,2026-03-08,I am afraid the cold brew bottle could leak in my work bag because the cap feels loose.,2,Gula Melaka Cold Brew,Google Review
SCF-2026-0033,2026-03-10,The fast collection shelf has made me loyal to this breakfast stop on busy mornings.,5,Kaya Toast Breakfast Set,Post-purchase Survey
SCF-2026-0034,2026-03-12,The price of the smaller laksa bowl made it an easy lunch choice for me.,4,Laksa Bowl,Google Review
SCF-2026-0035,2026-03-14,"I bought the sambal crunch jar after seeing that one jar could be used for noodles, rice and toast.",5,Sambal Crunch Jar,Marketplace Review
SCF-2026-0036,2026-03-16,"The laksa broth tastes dependable, so I keep choosing it for rainy-day lunches.",5,Laksa Bowl,Food Delivery App
