campaign_id,objective,target_audience,active_message,channel
CAM001,Increase weekday lunch traffic,Office workers aged 22-45 in CBD and business parks,"Fast, satisfying lunch sets designed for busy workdays without a long wait.",Instagram
CAM002,Increase weekday lunch traffic,Office workers aged 22-45 in CBD and business parks,Order ahead and collect your lunch quickly during the noon rush.,Website/App
CAM003,Drive first-time trials,University students and young adults aged 18-25,"Student-friendly meals that are filling, convenient and easy on the wallet.",TikTok
CAM004,Drive first-time trials,University students and young adults aged 18-25,Try a complete meal bundle at an accessible entry price this week.,Instagram
CAM005,Increase repeat purchases,Existing customers who purchased in the last 60 days,Come back for your favourites and earn rewards toward your next meal.,Email
CAM006,Increase loyalty programme sign-ups,Frequent dine-in and takeaway customers,Join our rewards programme to earn points and unlock member-only offers.,Website/App
CAM007,Promote healthier choices,Health-conscious adults aged 20-45,Choose a balanced meal with wholesome ingredients and flexible add-ons.,Instagram
CAM008,Promote healthier choices,Gym-goers and protein-focused customers,Build a protein-forward meal that fits an active routine.,TikTok
CAM009,Increase dinner orders,Young professionals and couples aged 23-40,Make weeknight dinner simple with a comforting meal ready when you are.,Instagram
CAM010,Increase family meal sales,Parents with children aged 30-45,Easy family meal bundles with choices for both adults and kids.,Facebook
CAM011,Increase delivery orders,Customers living within delivery radius who value convenience,Skip the trip and get your favourites delivered to your door.,Delivery App
CAM012,Increase delivery orders,Late-working professionals and students,A convenient meal option for busy evenings when cooking is not practical.,Delivery App
CAM013,Promote new seasonal item,Existing customers and food explorers aged 18-40,A limited-time seasonal flavour inspired by familiar local favourites.,Instagram
CAM014,Promote new seasonal item,Trend-seeking Gen Z customers aged 18-27,"New season, new flavour: try our latest limited-time drop before it is gone.",TikTok
CAM015,Increase average order value,Existing customers ordering a main item,Complete your meal with a side and drink bundle for better overall value.,In-store
CAM016,Increase average order value,Online ordering customers,Add a side or drink to turn your order into a complete meal bundle.,Website/App
CAM017,Promote value perception,Price-sensitive students and young workers,Everyday meal value with satisfying portions at a practical price.,Instagram
CAM018,Promote value perception,Budget-conscious families,Share more while spending smarter with a family-sized bundle.,Facebook
CAM019,Reduce peak-hour queue friction,Office workers ordering during 11:30am-1:30pm,Pre-order before lunch and collect with less waiting during peak hours.,Website/App
CAM020,Reduce peak-hour queue friction,Regular takeaway customers,Use self-ordering and digital checkout for a faster takeaway experience.,In-store
CAM021,Increase brand awareness,Local food lovers aged 18-40,Discover comforting flavours made for everyday Singapore dining.,Instagram
CAM022,Increase brand awareness,Gen Z social media users,"Your next quick meal can still be fresh, customisable and full of flavour.",TikTok
CAM023,Re-engage inactive customers,Customers with no purchase in the last 90 days,We miss you—come back and rediscover your favourite meal with a returning-customer offer.,Email
CAM024,Re-engage inactive customers,Past loyalty members with low recent activity,Your rewards are waiting—return this month and enjoy a member-exclusive benefit.,Email
CAM025,Promote customisation,Customers with different dietary preferences,"Make it yours: choose your base, protein, toppings and sauces to fit your preference.",Instagram
CAM026,Promote customisation,Young adults seeking variety,"One menu, many combinations—build a different meal every visit.",TikTok
CAM027,Promote plant-based option,Flexitarians and environmentally conscious diners,Enjoy a satisfying meat-free option without giving up flavour or convenience.,Instagram
CAM028,Promote plant-based option,Health-conscious and vegetarian customers,A convenient plant-based choice for customers looking to eat lighter or meat-free.,Website/App
CAM029,Boost weekend footfall,Families and friend groups,Turn your weekend catch-up into an easy meal with shareable favourites.,Facebook
CAM030,Boost weekend footfall,Young adults meeting friends,"Weekend plans made easier: good food, flexible choices and a casual place to gather.",Instagram
CAM031,Increase festive sales,Existing customers buying for gatherings,Celebrate the festive season with limited-time bundles made for sharing.,Instagram
CAM032,Increase festive sales,Corporate and bulk-order customers,Simplify team celebrations with convenient festive packs for group orders.,Email
CAM033,Increase add-on beverage sales,Dine-in lunch customers,Refresh your meal with an add-on drink at a small bundle upgrade.,In-store
CAM034,Increase snack and side attachment,Afternoon customers and light eaters,Add a quick side or snack for an easy afternoon pick-me-up.,In-store
CAM035,Highlight food quality,Quality-conscious customers aged 25-50,"Made with carefully selected ingredients for a meal that is simple, satisfying and dependable.",Facebook
CAM036,Highlight freshness,Customers comparing quick-service meal options,Freshly prepared choices that bring convenience without feeling like a compromise.,Instagram
CAM037,Promote local relevance,Singapore residents interested in local flavours,"Familiar Singapore-inspired flavours, reimagined for an easy everyday meal.",Instagram
CAM038,Promote local relevance,Younger customers interested in local food culture,Local flavour meets a modern quick-service meal—made for today's Singapore lifestyle.,TikTok
CAM039,Increase online conversion,Website visitors who viewed menu but did not order,"See the menu, customise your meal and place your order in just a few steps.",Website/App
CAM040,Encourage referrals and social sharing,Satisfied existing customers aged 18-35,Share your meal experience with friends and help them discover their next favourite.,Instagram
CAM041,Increase weekday breakfast traffic,Office workers commuting before 9am,"Start the day with a warm, convenient breakfast that fits a busy morning. See today's options in our latest post.",Instagram
CAM042,Increase weekday breakfast traffic,Office workers commuting before 9am,Pick up a simple breakfast combo before the day gets crowded. Watch the short menu feature and choose your next order.,TikTok
CAM043,Increase weekday breakfast traffic,Office workers commuting before 9am,Make breakfast easier with a filling morning option prepared for people on the move. Use the message link to view the current offer.,Email
CAM044,Increase weekday breakfast traffic,Office workers commuting before 9am,"Choose a practical breakfast that balances speed, taste and value. Open the menu to customise and place your order.",Website/App
CAM045,Increase weekday breakfast traffic,Office workers commuting before 9am,"Start the day with a warm, convenient breakfast that fits a busy morning. Look for the offer at the counter or self-ordering kiosk.",In-store
CAM046,Increase weekday breakfast traffic,University students with early classes,Pick up a simple breakfast combo before the day gets crowded. See today's options in our latest post.,Instagram
CAM047,Increase weekday breakfast traffic,University students with early classes,Make breakfast easier with a filling morning option prepared for people on the move. Watch the short menu feature and choose your next order.,TikTok
CAM048,Increase weekday breakfast traffic,University students with early classes,"Choose a practical breakfast that balances speed, taste and value. Use the message link to view the current offer.",Email
CAM049,Increase weekday breakfast traffic,University students with early classes,"Start the day with a warm, convenient breakfast that fits a busy morning. Open the menu to customise and place your order.",Website/App
CAM050,Increase weekday breakfast traffic,University students with early classes,Pick up a simple breakfast combo before the day gets crowded. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM051,Increase weekday breakfast traffic,Parents buying breakfast on school mornings,Make breakfast easier with a filling morning option prepared for people on the move. See today's options in our latest post.,Instagram
CAM052,Increase weekday breakfast traffic,Parents buying breakfast on school mornings,"Choose a practical breakfast that balances speed, taste and value. Watch the short menu feature and choose your next order.",TikTok
CAM053,Increase weekday breakfast traffic,Parents buying breakfast on school mornings,"Start the day with a warm, convenient breakfast that fits a busy morning. Use the message link to view the current offer.",Email
CAM054,Increase weekday breakfast traffic,Parents buying breakfast on school mornings,Pick up a simple breakfast combo before the day gets crowded. Open the menu to customise and place your order.,Website/App
CAM055,Increase weekday breakfast traffic,Parents buying breakfast on school mornings,Make breakfast easier with a filling morning option prepared for people on the move. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM056,Increase weekday breakfast traffic,Early-shift workers seeking a quick meal,"Choose a practical breakfast that balances speed, taste and value. See today's options in our latest post.",Instagram
CAM057,Increase weekday breakfast traffic,Early-shift workers seeking a quick meal,"Start the day with a warm, convenient breakfast that fits a busy morning. Watch the short menu feature and choose your next order.",TikTok
CAM058,Increase weekday breakfast traffic,Early-shift workers seeking a quick meal,Pick up a simple breakfast combo before the day gets crowded. Use the message link to view the current offer.,Email
CAM059,Increase weekday breakfast traffic,Early-shift workers seeking a quick meal,Make breakfast easier with a filling morning option prepared for people on the move. Open the menu to customise and place your order.,Website/App
CAM060,Increase weekday breakfast traffic,Early-shift workers seeking a quick meal,"Choose a practical breakfast that balances speed, taste and value. Look for the offer at the counter or self-ordering kiosk.",In-store
CAM061,Increase weekday lunch traffic,CBD office workers with short lunch breaks,Make lunch simple with a satisfying meal designed for a short break. See today's options in our latest post.,Instagram
CAM062,Increase weekday lunch traffic,CBD office workers with short lunch breaks,Get a complete weekday lunch without spending your whole break in a queue. Check the current offer and plan your next meal.,Facebook
CAM063,Increase weekday lunch traffic,CBD office workers with short lunch breaks,Choose a practical lunch set that is easy to order and easy to enjoy. Use the message link to view the current offer.,Email
CAM064,Increase weekday lunch traffic,CBD office workers with short lunch breaks,Turn a busy noon hour into a convenient meal with flexible choices. Open the menu to customise and place your order.,Website/App
CAM065,Increase weekday lunch traffic,CBD office workers with short lunch breaks,Make lunch simple with a satisfying meal designed for a short break. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM066,Increase weekday lunch traffic,Campus students between afternoon classes,Get a complete weekday lunch without spending your whole break in a queue. See today's options in our latest post.,Instagram
CAM067,Increase weekday lunch traffic,Campus students between afternoon classes,Choose a practical lunch set that is easy to order and easy to enjoy. Check the current offer and plan your next meal.,Facebook
